impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
restricted_quadratic_global,0.15,0.65,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
restricted_quadratic_global,0.15,0.7,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.7,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758323,0.008241758241758242,8.153200337090993e-17,9.892549742336973e-15
restricted_quadratic_global,0.15,0.7,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901002,0.0210989010989011,9.71445146547012e-17,4.6042452258217965e-15
restricted_quadratic_global,0.15,0.75,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.75,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758323,0.008241758241758242,8.153200337090993e-17,9.892549742336973e-15
restricted_quadratic_global,0.15,0.75,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901002,0.0210989010989011,9.71445146547012e-17,4.6042452258217965e-15
restricted_quadratic_local,0.15,0.25,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.0024489795918367085,0.0024489795918367354,2.688821387764051e-17,1.0979354000036659e-14
restricted_quadratic_local,0.15,0.25,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979609,0.015306122448979598,1.0408340855860843e-17,6.800116025829076e-16
restricted_quadratic_local,0.15,0.25,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.039183673469387725,0.03918367346938777,4.163336342344337e-17,1.0625181290357951e-15
restricted_quadratic_local,0.15,0.3,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
